AtcoCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
0180BAC30196,bthdwdw,,,Somerdale View,en,,,,,Rush Hill,en,,,NW-Bound,en,NW,E0035093,Rush Hill,Bath,,,,,,0,U,373275,162641,-2.38524,51.3622,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30197,bthdwdp,,,Somerdale View,en,,,,,Rush Hill,en,,,SE-Bound,en,SE,E0035093,Rush Hill,Bath,,,,,,0,U,373232,162678,-2.38586,51.36253,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30198,bthdpwp,,,Culverhay School,en,,,,,,,,,NW-Bound,en,NW,E0035093,Rush Hill,Bath,,,,,,0,U,372806,162892,-2.39199,51.36443,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30199,bthdpwj,,,Culverhay School,en,,,,,Rush Hill,en,,,E-Bound,en,E,E0035093,Rush Hill,Bath,,,,,,0,U,372809,162906,-2.39195,51.36456,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30200,bthdptw,,,Padleigh Turn,en,,,,,Englishcombe Lane,en,,,NE-Bound,en,NE,N0060723,Kingsway,Bath,,,,,,0,U,372749,163087,-2.39283,51.36618,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30201,bthdpta,,,Padleigh Turn,en,,,,,Englishcombe Lane,en,,,SW-Bound,en,SW,N0060723,Kingsway,Bath,,,,,,0,U,372686,163040,-2.39373,51.36576,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30202,bthdtdp,,,Southdown Road,en,,,,,Englishcombe Lane,en,,,NE-Bound,en,NE,E0035105,Southdown,Bath,,,,,,0,U,372913,163194,-2.39048,51.36715,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30203,bthdtpj,,,Kingsway Post Office,en,,,,,Englishcombe Lane,en,,,SW-Bound,en,SW,N0060723,Kingsway,Bath,,,,,,0,U,373085,163254,-2.38801,51.3677,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30204,bthdwjt,,,Stirtingale Road Botttom,en,,,,,Stirtingale Road,en,,,N-Bound,en,N,N0060723,Kingsway,Bath,,,,,,0,U,373412,163300,-2.38332,51.36813,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30205,bthdwjw,,,Stirtingale Avenue,en,,,,,Stirtingale Road,en,,,S-Bound,en,S,N0060723,Kingsway,Bath,,,,,,0,U,373414,163258,-2.38329,51.36775,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30206,bthdwjd,,,Stirtingale Road,en,,,,,Stirtingale Road,en,,,W-Bound,en,W,N0060723,Kingsway,Bath,,,,,,0,U,373357,163175,-2.3841,51.367,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30207,bthdwdt,,,Ambleside Road,en,,,,,Stirtingale Road,en,,,W-Bound,en,W,N0060723,Kingsway,Bath,,,,,,0,U,373247,163139,-2.38568,51.36668,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30208,bthdwda,,,Ambleside Road,en,,,,,Stirtingale Road,en,,,E-Bound,en,E,N0060723,Kingsway,Bath,,,,,,0,U,373215,163136,-2.38614,51.36665,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30209,bthdtpm,,,Georgian View,en,,,,,Ambleside Road,en,,,N-Bound,en,N,N0060723,Kingsway,Bath,,,,,,0,U,373122,163074,-2.38747,51.36609,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30210,bthdtwd,,,Georgian View,en,,,,,Ambleside Road,en,,,S-Bound,en,S,N0060723,Kingsway,Bath,,,,,,0,U,373130,163067,-2.38735,51.36602,BCT,CUS,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30211,bthdtpt,,,Edgeworth Road,en,,,,,Ambleside Road,en,,,W-Bound,en,W,N0060723,Kingsway,Bath,,,,,,0,U,373120,162908,-2.38748,51.36459,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
